#Code,Azimuth,Elevation,Calibration
56252,37.99,71.61,1
56255,41.7,70.55,1
56258,45,69.41,1
56261,47.94,68.21,1
56264,50.56,66.95,1
56267,52.9,65.65,1
56270,55,64.31,1
56273,56.87,62.93,1
56276,58.56,61.53,1
56279,60.08,60.1,1
56282,61.45,58.64,1
56285,62.7,57.17,1
56288,63.83,55.68,1
56291,64.86,54.17,1
56294,-65.66,54.44,1
56297,-64.66,55.95,1
56300,-63.55,57.45,1
56303,-62.33,58.93,1
56306,-60.98,60.39,1
56309,-59.49,61.83,1
56312,-57.83,63.25,1
56315,-55.98,64.63,1
56318,-53.92,65.99,1
56321,-51.6,67.3,1
56324,-48.99,68.58,1
56327,-46.06,69.8,1
56330,-42.75,70.95,1
56333,-39.02,72.03,1
56336,-34.83,73.02,1
56339,-30.14,73.91,1
56342,-24.94,74.67,1
56345,-19.25,75.29,1
56348,-13.11,75.75,1
56351,-6.65,76.04,1
56354,0,76.13,1
56357,6.65,76.04,1
56360,13.11,75.75,1
56363,19.25,75.29,1
56366,24.94,74.67,1
